Pattern         		
IR_J-250_310    	ND_J-250_310    	Meter_J-250_310    
IR_J-250_330    	ND_J-250_330    	Meter_J-250_330    
IR_J-250_350    	ND_J-250_350    	Meter_J-250_350    
IR_J-30_10      	ND_J-30_10      	Meter_J-30_10      
IR_J-30_30      	ND_J-30_30      	Meter_J-30_30      
IR_J-30_50      	ND_J-30_50      	Meter_J-30_50      
IR_J-30_70      	ND_J-30_70      	Meter_J-30_70      
IR_J-30_90      	ND_J-30_90      	Meter_J-30_90      
IR_J-30_110     	ND_J-30_110     	Meter_J-30_110     
IR_J-30_130     	ND_J-30_130     	Meter_J-30_130     
IR_J-30_150     	ND_J-30_150     	Meter_J-30_150     
IR_J-30_170     	ND_J-30_170     	Meter_J-30_170     
IR_J-30_190     	ND_J-30_190     	Meter_J-30_190     
IR_J-30_210     	ND_J-30_210     	Meter_J-30_210     
IR_J-30_230     	ND_J-30_230     	Meter_J-30_230     
IR_J-30_250     	ND_J-30_250     	Meter_J-30_250     
IR_J-30_270     	ND_J-30_270     	Meter_J-30_270     
IR_J-30_290     	ND_J-30_290     	Meter_J-30_290     
IR_J-30_310     	ND_J-30_310     	Meter_J-30_310     
IR_J-30_330     	ND_J-30_330     	Meter_J-30_330     
IR_J-30_350     	ND_J-30_350     	Meter_J-30_350     
IR_J-240_10     	ND_J-240_10     	Meter_J-240_10     
IR_J-240_30     	ND_J-240_30     	Meter_J-240_30     
IR_J-240_50     	ND_J-240_50     	Meter_J-240_50     
IR_J-240_70     	ND_J-240_70     	Meter_J-240_70     
IR_J-240_90     	ND_J-240_90     	Meter_J-240_90     
IR_J-240_110    	ND_J-240_110    	Meter_J-240_110    
IR_J-240_130    	ND_J-240_130    	Meter_J-240_130    
IR_J-240_150    	ND_J-240_150    	Meter_J-240_150    
IR_J-240_170    	ND_J-240_170    	Meter_J-240_170    
IR_J-240_190    	ND_J-240_190    	Meter_J-240_190    
IR_J-240_210    	ND_J-240_210    	Meter_J-240_210    
IR_J-240_230    	ND_J-240_230    	Meter_J-240_230    
IR_J-240_250    	ND_J-240_250    	Meter_J-240_250    
IR_J-240_270    	ND_J-240_270    	Meter_J-240_270    
IR_J-240_290    	ND_J-240_290    	Meter_J-240_290    
IR_J-240_310    	ND_J-240_310    	Meter_J-240_310    
IR_J-240_330    	ND_J-240_330    	Meter_J-240_330    
IR_J-240_350    	ND_J-240_350    	Meter_J-240_350    
IR_J-308_10     	ND_J-308_10     	Meter_J-308_10     
IR_J-308_30     	ND_J-308_30     	Meter_J-308_30     
IR_J-308_50     	ND_J-308_50     	Meter_J-308_50     
IR_J-308_70     	ND_J-308_70     	Meter_J-308_70     
IR_J-308_90     	ND_J-308_90     	Meter_J-308_90     
IR_J-308_110    	ND_J-308_110    	Meter_J-308_110    
IR_J-308_130    	ND_J-308_130    	Meter_J-308_130    
IR_J-308_150    	ND_J-308_150    	Meter_J-308_150    
IR_J-308_170    	ND_J-308_170    	Meter_J-308_170    
IR_J-308_190    	ND_J-308_190    	Meter_J-308_190    
IR_J-308_210    	ND_J-308_210    	Meter_J-308_210    
IR_J-308_230    	ND_J-308_230    	Meter_J-308_230    
IR_J-308_250    	ND_J-308_250    	Meter_J-308_250    
IR_J-308_270    	ND_J-308_270    	Meter_J-308_270    
IR_J-308_290    	ND_J-308_290    	Meter_J-308_290    
IR_J-308_310    	ND_J-308_310    	Meter_J-308_310    
IR_J-308_330    	ND_J-308_330    	Meter_J-308_330    
IR_J-308_350    	ND_J-308_350    	Meter_J-308_350    
IR_J-207_10     	ND_J-207_10     	Meter_J-207_10     
IR_J-207_30     	ND_J-207_30     	Meter_J-207_30     
IR_J-207_50     	ND_J-207_50     	Meter_J-207_50     
IR_J-207_70     	ND_J-207_70     	Meter_J-207_70     
IR_J-207_90     	ND_J-207_90     	Meter_J-207_90     
IR_J-207_110    	ND_J-207_110    	Meter_J-207_110    
IR_J-207_130    	ND_J-207_130    	Meter_J-207_130    
IR_J-207_150    	ND_J-207_150    	Meter_J-207_150    
IR_J-207_170    	ND_J-207_170    	Meter_J-207_170    
IR_J-207_190    	ND_J-207_190    	Meter_J-207_190    
IR_J-207_210    	ND_J-207_210    	Meter_J-207_210    
IR_J-207_230    	ND_J-207_230    	Meter_J-207_230    
IR_J-207_250    	ND_J-207_250    	Meter_J-207_250    
IR_J-207_270    	ND_J-207_270    	Meter_J-207_270    
IR_J-207_290    	ND_J-207_290    	Meter_J-207_290    
IR_J-207_310    	ND_J-207_310    	Meter_J-207_310    
IR_J-207_330    	ND_J-207_330    	Meter_J-207_330    
IR_J-207_350    	ND_J-207_350    	Meter_J-207_350    
